Address,City,Name,Website,Website URL,address,city,name,source_url,url,website URL,website_url
,,,,,"200 Fletcher Crescent, Alliston, ON L9R 1W7",Alliston,Stevenson Memorial Hospital,https://www.ontario.ca/page/general-hospital-locations,,,https://www.ontario.ca/page/general-hospital-locations
,,,,,"201 Georgian Drive, Barrie, ON L4M 6M2",Barrie,Royal Victoria Regional Health Centre,https://www.ontario.ca/page/general-hospital-locations,,,https://www.ontario.ca/page/general-hospital-locations
,,,,,"2100 Bovaird Drive East, Brampton, ON L6R 3J7",Brampton,Brampton Civic Hospital,https://www.ontario.ca/page/general-hospital-locations,,,https://www.ontario.ca/page/general-hospital-locations
,,,,,"101 Humber College Boulevard, Etobicoke, ON M9V 1R8",Etobicoke,Etobicoke General Hospital (Toronto),https://www.ontario.ca/page/general-hospital-locations,,,https://www.ontario.ca/page/general-hospital-locations
,,,,,"20 Lynch Street, Brampton, ON L6W 2Z8",Brampton,Peel Memorial Centre for Integrated Health and Wellness,https://www.ontario.ca/page/general-hospital-locations,,,https://www.ontario.ca/page/general-hospital-locations
,,,,,"200 Church Street, Toronto, ON M9N 1N8",Toronto,Reactivation Care Centre – Church (Toronto),https://www.ontario.ca/page/general-hospital-locations,,,https://www.ontario.ca/page/general-hospital-locations
,,,,,"459 Hume Street, Collingwood, ON L9Y 1W9",Collingwood,Collingwood General And Marine Hospital,https://www.ontario.ca/page/general-hospital-locations,,,https://www.ontario.ca/page/general-hospital-locations
,,,,,"100 Frank Miller Drive, Huntsville, ON P1H 1H7",Huntsville,Huntsville District Memorial Hospital,https://www.ontario.ca/page/general-hospital-locations,,,https://www.ontario.ca/page/general-hospital-locations
,,,,,"75 Ann Street, Bracebridge, ON P1L 2E4",Bracefordshire,South Muskoka Memorial Hospital (Bracebridge),https://www.ontario.ca/page/general-hospital-locations,,,https://www.ontario.ca/page/general-hospital-locations
,,,,,"381 Church Street, Markham, ON L3P 7P3",Markham,Markham-Stouffville Hospital,https://www.ontario.ca/page/general-hospital-locations,,,https://www.ontario.ca/page/general-hospital-locations
,,,,,"4 Campbell Drive, Uxbridge, ON L9P 1S4",Uxbridge,Uxbridge Hospital,https://www.ontario.ca/page/general-hospital-locations,,,https://www.ontario.ca/page/general-hospital-locations
